日期,1129B价格（元/吨）,1129B涨跌,2129B价格（元/吨）,2129B涨跌,3128B价格（元/吨）,3128B涨跌,4128B价格（元/吨）,4128B涨跌,1228B价格（元/吨）,1228B涨跌,2227B价格（元/吨）,2227B涨跌
2024-03-26,17573,-73,17224,-104,16958,-116,16505,-117,16659,-95,15554,-91

2024-03-27,17596,23,17275,51,17007,49,16543,38,16686,27,15571,17

2024-03-28,17574,-22,17236,-39,16944,-63,16490,-53,16617,-69,15502,-69

2024-03-29,17531,-43,17198,-38,16895,-49,16432,-58,16561,-56,15457,-45

2024-04-01,17615,84,17294,96,17032,137,16548,116,16688,127,15528,71

2024-04-02,17714,99,17367,73,17106,74,16631,83,16775,87,15573,45

2024-04-03,17795,81,17444,77,17182,76,16713,82,16854,79,15664,91

2024-04-07,17826,31,17479,35,17206,24,16743,30,16878,24,15705,41

2024-04-08,17827,1,17477,-2,17209,3,16752,9,16896,18,15716,11

2024-04-09,17782,-45,17454,-23,17168,-41,16721,-31,16848,-48,15691,-25

2024-04-10,17808,26,17472,18,17197,29,16739,18,16872,24,15708,17

2024-04-11,17820,12,17490,18,17212,15,16752,13,16883,11,15728,20

2024-04-12,17793,-27,17447,-43,17188,-24,16720,-32,16848,-35,15696,-32

2024-04-15,17685,-108,17367,-80,17116,-72,16654,-66,16779,-69,15659,-37

2024-04-16,17708,23,17395,28,17153,37,16674,20,16822,43,15677,18

2024-04-17,17719,11,17430,35,17165,12,16700,26,16832,10,15691,14

2024-04-18,17591,-128,17336,-94,17076,-89,16602,-98,16726,-106,15619,-72

2024-04-19,17518,-73,17253,-83,17014,-62,16504,-98,16661,-65,15550,-69

2024-04-22,17374,-144,17130,-123,16857,-157,16404,-100,16562,-99,15462,-88

2024-04-23,17360,-14,17101,-29,16855,-2,16384,-20,16559,-3,15452,-10

2024-04-24,17369,9,17100,-1,16879,24,16385,1,16567,8,15449,-3

2024-04-25,17335,-34,17066,-34,16813,-66,16342,-43,16536,-31,15395,-54

2024-04-26,17237,-98,17007,-59,16705,-108,16266,-76,16440,-96,15323,-72

2024-04-28,17225,-12,16963,-44,16661,-44,16211,-55,16368,-72,15258,-65

2024-04-29,17243,18,16967,4,16670,9,16222,11,16366,-2,15242,-16

2024-04-30,17250,7,16983,16,16681,11,16253,31,16394,28,15252,10

2024-05-06,17280,30,16997,14,16708,27,16281,28,16395,1,15271,19

2024-05-07,17184,-96,16896,-101,16591,-117,16171,-110,16283,-112,15178,-93

2024-05-08,17193,9,16897,1,16585,-6,16184,13,16296,13,15182,4

2024-05-09,17230,37,16949,52,16664,79,16217,33,16338,42,15234,52

2024-05-10,17127,-103,16821,-128,16529,-135,16086,-131,16195,-143,15121,-113

2024-05-11,16906,-221,16680,-141,16343,-186,15891,-195,16009,-186,14947,-174

2024-05-13,16880,-26,16602,-78,16291,-52,15844,-47,15949,-60,14901,-46

2024-05-14,16790,-90,16540,-62,16238,-53,15765,-79,15901,-48,14852,-49

2024-05-15,16796,6,16561,21,16245,7,15768,3,15915,14,14853,1

2024-05-16,16710,-86,16477,-84,16161,-84,15665,-103,15817,-98,14809,-44

2024-05-17,16803,93,16546,69,16253,92,15723,58,15883,66,14866,57

2024-05-20,16867,64,16639,93,16309,56,15785,62,15926,43,14916,50

2024-05-21,16943,76,16695,56,16405,96,15838,53,15985,59,14991,75

2024-05-22,16953,10,16703,8,16408,3,15842,4,15987,2,14984,-7

2024-05-23,16974,21,16719,16,16439,31,15879,37,16009,22,15009,25

2024-05-24,16992,18,16758,39,16465,26,15920,41,16029,20,15027,18

2024-05-27,17025,33,16824,66,16556,91,15991,71,16114,85,15067,40

2024-05-28,17018,-7,16789,-35,16524,-32,15976,-15,16100,-14,15056,-11

2024-05-29,17012,-6,16786,-3,16510,-14,15977,1,16085,-15,15050,-6

2024-05-30,17018,6,16803,17,16542,32,16008,31,16107,22,15104,54

2024-05-31,17013,-5,16777,-26,16515,-27,15994,-14,16099,-8,15104,0

2024-06-03,16900,-113,16654,-123,16362,-153,15862,-132,15986,-113,15005,-99

2024-06-04,16806,-94,16540,-114,16247,-115,15752,-110,15903,-83,14906,-99

2024-06-05,16739,-67,16453,-87,16189,-58,15657,-95,15820,-83,14818,-88

2024-06-06,16770,31,16499,46,16239,50,15684,27,15867,47,14876,58

2024-06-07,16823,53,16523,24,16264,25,15720,36,15901,34,14913,37

2024-06-11,16856,33,16566,43,16321,57,15802,82,15952,51,14950,37

2024-06-12,16812,-44,16513,-53,16234,-87,15761,-41,15912,-40,14925,-25

2024-06-13,16835,23,16548,35,16256,22,15801,40,15959,47,14944,19

2024-06-14,16702,-133,16420,-128,16120,-136,15617,-184,15834,-125,14822,-122

2024-06-17,16654,-48,16360,-60,16046,-74,15559,-58,15782,-52,14766,-56

2024-06-18,16580,-74,16257,-103,15931,-115,15503,-56,15653,-129,14661,-105

2024-06-19,16443,-137,16134,-123,15786,-145,15339,-164,15496,-157,14497,-164

2024-06-20,16445,2,16126,-8,15786,0,15347,8,15503,7,14504,7

2024-06-21,16455,10,16110,-16,15779,-7,15336,-11,15484,-19,14517,13

2024-06-24,16452,-3,16096,-14,15772,-7,15341,5,15469,-15,14508,-9

2024-06-25,16454,2,16112,16,15778,6,15353,12,15490,21,14506,-2

2024-06-26,16464,10,16117,5,15790,12,15355,2,15492,2,14508,2

2024-06-27,16493,29,16158,41,15830,40,15376,21,15531,39,14524,16

2024-06-28,16497,4,16161,3,15826,-4,15378,2,15539,8,14513,-11

2024-07-01,16478,-19,16144,-17,15788,-38,15364,-14,15512,-27,14485,-28

2024-07-02,16430,-48,16116,-28,15754,-34,15336,-28,15473,-39,14449,-36

2024-07-03,16505,75,16189,73,15839,85,15392,56,15536,63,14494,45

2024-07-04,16461,-44,16138,-51,15792,-47,15329,-63,15479,-57,14445,-49

2024-07-05,16444,-17,16120,-18,15777,-15,15306,-23,15453,-26,14416,-29

2024-07-08,16443,-1,16129,9,15785,8,15305,-1,15447,-6,14416,0

2024-07-09,16380,-63,16028,-101,15694,-91,15203,-102,15336,-111,14320,-96

2024-07-10,16387,7,16051,23,15707,13,15211,8,15353,17,14317,-3

2024-07-11,16282,-105,15953,-98,15623,-84,15118,-93,15264,-89,14200,-117

2024-07-12,16332,50,16030,77,15688,65,15179,61,15323,59,14251,51

2024-07-15,16325,-7,16034,4,15684,-4,15180,1,15341,18,14251,0

2024-07-16,16324,-1,16035,1,15691,7,15176,-4,15339,-2,14257,6

2024-07-17,16385,61,16070,35,15745,54,15236,60,15379,40,14292,35

2024-07-18,16348,-37,16034,-36,15699,-46,15205,-31,15345,-34,14256,-36

2024-07-19,16379,31,16073,39,15745,46,15221,16,15370,25,14282,26

2024-07-22,16360,-19,16067,-6,15742,-3,15218,-3,15366,-4,14281,-1

2024-07-23,16344,-16,16024,-43,15706,-36,15206,-12,15338,-28,14261,-20

2024-07-24,16294,-50,15977,-47,15610,-96,15124,-82,15263,-75,14189,-72

2024-07-25,16280,-14,15950,-27,15595,-15,15118,-6,15248,-15,14178,-11

2024-07-26,16190,-90,15817,-133,15469,-126,14951,-167,15120,-128,14055,-123

2024-07-29,16215,25,15816,-1,15470,1,14958,7,15133,13,14065,10

2024-07-30,16196,-19,15777,-39,15446,-24,14936,-22,15106,-27,14043,-22

2024-07-31,16164,-32,15748,-29,15420,-26,14919,-17,15087,-19,14037,-6

2024-08-01,16167,3,15740,-8,15418,-2,14934,15,15082,-5,14025,-12

2024-08-02,16185,18,15756,16,15434,16,14967,33,15110,28,14007,-18

2024-08-05,16145,-40,15728,-28,15394,-40,14930,-37,15048,-62,13967,-40

2024-08-06,16081,-64,15641,-87,15333,-61,14836,-94,14976,-72,13918,-49

2024-08-07,15669,-412,15425,-216,15067,-266,14529,-307,14712,-264,13682,-236

2024-08-08,15556,-113,15319,-106,14924,-143,14402,-127,14591,-121,13576,-106

2024-08-09,15429,-127,15149,-170,14730,-194,14229,-173,14438,-153,13447,-129

2024-08-12,15472,43,15190,41,14770,40,14274,45,14445,7,13457,10

2024-08-13,15578,106,15295,105,14900,130,14383,109,14530,85,13537,80

2024-08-14,15602,24,15299,4,14896,-4,14376,-7,14530,0,13521,-16

2024-08-15,15439,-163,15192,-107,14782,-114,14272,-104,14397,-133,13392,-129

2024-08-16,15388,-51,15135,-57,14720,-62,14230,-42,14351,-46,13343,-49

2024-08-19,15398,10,15137,2,14734,14,14228,-2,14377,26,13367,24

2024-08-20,15325,-73,15080,-57,14692,-42,14186,-42,14293,-84,13318,-49

2024-08-21,15471,146,15202,122,14839,147,14317,131,14449,156,13448,130

2024-08-22,15475,4,15217,15,14833,-6,14310,-7,14439,-10,13447,-1

2024-08-23,15510,35,15229,12,14866,33,14336,26,14468,29,13455,8

2024-08-26,15520,10,15227,-2,14854,-12,14340,4,14455,-13,13433,-22

2024-08-27,15604,84,15287,60,14931,77,14418,78,14563,108,13519,86

2024-08-28,15654,50,15359,72,14975,44,14469,51,14605,42,13561,42

2024-08-29,15671,17,15671,5,14988,13,14502,33,14626,21,13571,10

2024-08-30,15663,-8,15331,-33,14982,-6,14502,0,14613,-13,13574,3

2024-09-02,15694,31,15376,45,15047,65,14558,56,14671,58,13615,41

2024-09-03,15572,-112,15260,-116,14927,-120,14443,-115,14556,-115,13498,-117

2024-09-04,15702,8,15380,4,15054,7,14551,-7,14682,11,13636,21

2024-09-05,15684,-14,15339,-41,14993,-61,14527,-24,14691,9,13638,2

2024-09-06,15666,-18,15293,-46,14963,-30,14520,-7,14654,-37,13635,-3

2024-09-09,15540,-126,15158,-135,14855,-108,14427,-93,14517,-137,13530,-105

2024-09-10,15373,-167,15021,-137,14717,-138,14259,-168,14403,-114,13339,-191

2024-09-11,15398,25,15054,33,14738,21,14277,18,14447,44,13344,5

2024-09-12,15411,13,15068,14,14761,23,14304,27,14453,6,13347,3

2024-09-13,15512,101,15161,93,14869,108,14423,119,14559,106,13455,108

2024-09-14,15518,6,15168,7,14874,5,14435,12,14573,14,13466,11

2024-09-18,15518,0,15168,0,14886,12,14454,19,14579,6,13466,0

2024-09-19,15640,122,15289,121,15005,119,14567,113,14700,121,13599,133

2024-09-20,15608,-32,15261,-28,14965,-40,14533,-34,14639,-61,13564,-35

2024-09-23,15721,113,15405,144,15127,162,14680,147,14826,187,13702,138

2024-09-24,15786,65,15459,54,15184,57,14775,95,14904,78,13760,58

2024-09-25,15810,24,15489,30,15208,24,14789,14,14917,13,13769,9

2024-09-26,15870,60,15571,82,15285,77,14850,61,14969,52,13831,62

2024-09-27,15871,1,15572,1,15281,-4,14847,-3,14972,3,13832,1

2024-09-29,15928,57,15676,104,15370,89,14957,110,15073,101,13907,75

2024-09-30,15967,39,15725,49,15410,40,14982,25,15116,43,13928,21

2024-10-01,16132,165,15896,171,15575,165,15124,142,15239,123,14053,125

2024-10-02,16143,11,15896,0,15581,6,15134,10,15254,15,14058,5

2024-10-03,16145,2,15910,14,15602,21,15142,8,15258,4,14072,14

2024-10-04,16149,4,15923,13,15627,25,15147,5,15270,12,14075,3

2024-10-07,16176,27,15948,25,15649,22,15164,17,15294,24,14106,31

2024-10-08,16195,19,15989,41,15691,42,15177,13,15331,37,14120,14

2024-10-09,16157,-38,15949,-40,15650,-41,15148,-29,15299,-32,14075,-45

2024-10-10,16095,-62,15889,-60,15592,-58,15099,-49,15253,-46,13997,-78

2024-10-11,16088,-7,15864,-25,15572,-20,15080,-19,15215,-38,13983,-14

2024-10-12,16054,-34,15826,-38,15542,-30,15049,-31,15184,-31,13941,-42

2024-10-14,16065,11,15819,-7,15554,12,15043,-6,15189,5,13948,7

2024-10-15,16079,14,15814,-5,15535,-19,15032,-11,15186,-3,13917,-31

2024-10-16,16072,-7,15812,-2,15513,-22,15038,6,15165,-21,13903,-14

2024-10-17,16120,48,15808,-4,15480,-33,15036,-2,15171,6,13901,-2

2024-10-18,16065,-55,15768,-40,15430,-50,14983,-53,15106,-65,13865,-36

2024-10-21,16047,-18,15750,-18,15421,-9,14993,10,15109,3,13839,-26

2024-10-22,16041,-6,15755,5,15443,22,15000,7,15113,4,13805,-34

2024-10-23,16072,31,15773,18,15456,13,15017,17,15143,30,13820,15

2024-10-24,16059,-13,15781,8,15454,-2,15012,-5,15164,21,13835,15

2024-10-25,16096,37,15817,36,15509,55,15058,46,15215,51,13863,28

2024-10-28,16090,-6,15799,-18,15487,-22,15039,-19,15182,-33,13816,-47

2024-10-29,16083,-7,15776,-23,15464,-23,15021,-18,15170,-12,13782,-34

2024-10-30,16036,-47,15739,-37,15436,-28,14981,-40,15126,-44,13772,-10

2024-10-31,16013,-23,15720,-19,15410,-26,14965,-16,15092,-34,13738,-34

2024-11-01,16001,-12,15703,-17,15388,-22,14959,-6,15089,-3,13712,-26

2024-11-04,16016,15,15697,-6,15399,11,14946,-13,15090,1,13703,-9

2024-11-05,16005,-11,15698,1,15369,-30,14923,-23,15077,-13,13695,-8

2024-11-06,15985,-20,15670,-28,15348,-21,14889,-34,15053,-24,13675,-20

2024-11-07,15931,-54,15607,-63,15295,-53,14818,-71,14973,-80,13570,-105

2024-11-08,15952,21,15648,41,15338,43,14843,25,15020,47,13600,30

2024-11-11,16006,54,15707,59,15406,68,14919,76,15094,74,13655,55

2024-11-12,16008,2,15680,-27,15376,-30,14905,-14,15056,-38,13637,-18

2024-11-13,15999,-9,15681,1,15404,28,14867,-38,15043,-13,13614,-23

2024-11-14,16027,28,15666,-15,15396,-8,14860,-7,15055,12,13610,-4

2024-11-15,15995,-32,15638,-28,15368,-28,14839,21,14999,-56,13606,-4

2024-11-18,15962,-33,15616,-22,15313,-55,14820,-19,14972,-27,13568,-38

2024-11-19,15913,-49,15579,-37,15287,-26,14773,-47,14945,-26,13519,-49

2024-11-20,15901,-12,15579,0,15272,-15,14771,-2,14933,-12,13506,-13

2024-11-21,15911,10,15576,-3,15283,11,14781,10,14944,11,13500,-6

2024-11-22,15937,26,15580,4,15282,-1,14802,21,14952,8,13493,-7

2024-11-25,15914,-23,15563,-17,15249,-33,14808,6,14936,-16,13478,-15

2024-11-26,15932,18,15578,15,15279,30,14824,16,14956,20,13490,12

2024-11-27,15924,-8,15577,-1,15271,-8,14812,-12,14950,-6,13489,-1

2024-11-28,15930,6,15562,-15,15275,4,14817,5,14960,10,13484,-5

2024-11-29,15935,5,15567,5,15279,4,14820,3,14977,17,13495,11

2024-12-02,15967,32,15588,21,15308,29,14856,36,15010,33,13523,28

2024-12-03,15940,-27,15575,-13,15291,-17,14851,-5,14989,-21,13500,-23

2024-12-04,15930,-10,15545,-30,15256,-35,14817,-34,14963,-26,13484,-16

2024-12-05,15891,-39,15508,-37,15202,-54,14786,-31,14922,-41,13453,-31

2024-12-06,15887,-4,15519,11,15196,-6,14787,1,14917,-5,13441,-12

2024-12-09,15891,4,15513,-6,15197,1,14783,-4,14911,-6,13437,-4

2024-12-10,15792,-99,15417,-96,15104,-93,14702,-81,14834,-77,13380,-57

2024-12-11,15809,17,15421,4,15101,-3,14698,-4,14835,1,13396,16

2024-12-12,15792,-17,15420,-1,15085,-16,14700,2,14832,-3,13387,-9

2024-12-13,15765,-27,15385,-35,15045,-40,14679,-21,14796,-36,13372,-15

2024-12-16,15682,-83,15316,-69,14972,-73,14581,-98,14694,-102,13295,-77

2024-12-17,15562,-120,15220,-96,14868,-104,14482,-99,14609,-85,13205,-90

2024-12-18,15517,-45,15164,-56,14836,-32,14428,-54,14563,-46,13184,-21

2024-12-19,15408,-109,15070,-94,14724,-112,14315,-113,14438,-125,13077,-107

2024-12-20,15399,-118,15020,-144,14694,-142,14285,-143,14421,-142,13050,-134

2024-12-23,15413,14,15038,18,14709,15,14297,12,14425,4,13062,12

2024-12-24,15422,9,15040,2,14722,13,14311,14,14424,-1,13075,13

2024-12-25,15434,12,15045,5,14731,9,14321,10,14434,10,13091,16

2024-12-26,15439,5,15037,-8,14725,-6,14308,-13,14430,-4,13103,12

2024-12-27,15431,-8,15017,-20,14706,-19,14281,-27,14415,-15,13102,-1

2024-12-30,15453,22,15034,17,14732,26,14311,30,14433,18,13120,18

2024-12-31,15392,-61,14986,-48,14675,-57,14258,-53,14373,-60,13061,-59

2025-01-02,15441,49,15032,46,14710,35,14299,41,14437,64,13102,41

2025-01-03,15452,11,15054,22,14727,17,14318,19,14447,10,13117,15

2025-01-06,15414,-38,15008,-46,14674,-53,14281,-37,14406,-41,13069,-48

2025-01-07,15351,-63,14954,-54,14630,-44,14206,-75,14344,-62,13002,-67

2025-01-08,15378,27,14976,22,14648,18,14227,21,14355,11,13023,21

2025-01-09,15372,-6,14990,14,14652,4,14225,-2,14348,-7,13012,-11

2025-01-10,15370,-2,14990,0,14643,-9,14217,-8,14340,-8,13005,-7

2025-01-13,15423,53,15055,65,14711,68,14255,38,14396,56,13041,36

2025-01-14,15374,-49,15017,-38,14685,-26,14233,-22,14371,-25,13019,-22

2025-01-15,15399,25,15048,31,14737,52,14260,27,14410,39,13055,36

2025-01-16,15399,0,15054,6,14749,12,14266,6,14416,6,13052,-3

2025-01-17,15404,5,15062,8,14776,27,14281,15,14426,10,13058,6

2025-01-20,15411,7,15077,15,14780,4,14291,10,14429,3,13057,-1

2025-01-21,15421,10,15096,19,14805,25,14308,17,14440,11,13067,10

2025-01-22,15424,3,15109,13,14810,5,14314,6,14442,2,13068,1

2025-01-23,15428,4,15117,8,14814,4,14314,0,14442,0,13069,1

2025-01-24,15297,-131,15031,-86,14707,-107,14251,-63,14373,-69,12999,-70

2025-01-26,15313,16,15036,5,14722,15,14269,18,14378,5,13011,12

2025-01-27,15319,6,15038,2,14726,4,14275,6,14379,1,13013,2

2025-02-05,15330,11,15049,11,14752,26,14299,24,14383,4,13014,1

2025-02-06,15418,88,15142,93,14831,79,14386,87,14479,96,13099,85

2025-02-07,15397,-21,15104,-38,14790,-41,14356,-30,14433,-46,13061,-38

2025-02-08,15416,19,15138,34,14817,27,14387,31,14464,31,13085,24

2025-02-10,15408,-8,15121,-17,14807,-10,14807,-4,14446,-18,13082,-3

2025-02-11,15425,17,15149,28,14825,18,14392,9,14468,2,13095,13

2025-02-12,15475,50,15181,32,14866,41,14434,42,14542,74,13154,59

2025-02-13,15500,25,15200,19,14905,39,14468,34,14574,32,13179,25

2025-02-14,15473,-27,15191,-9,14894,-11,14460,-8,14559,-15,13152,-27

2025-02-17,15467,-6,15189,-2,14882,-12,14451,-9,14554,-5,13155,3

2025-02-18,15503,36,15228,39,14922,40,14516,65,14618,64,13203,48

2025-02-19,15562,59,15269,41,14975,53,14565,49,14666,48,13237,34

2025-02-20,15577,15,15275,6,14979,4,14568,3,14679,13,13248,11

2025-02-21,15556,-21,15260,-15,14965,-14,14549,-19,14665,-14,13231,-17

2025-02-24,15581,25,15273,13,14993,28,14568,19,14679,14,13247,16

2025-02-25,15560,-21,15266,-7,14981,-12,14562,-6,14664,-15,13232,-15

2025-02-26,15547,-13,15266,0,14978,-3,14558,-4,14671,7,13241,9

2025-02-27,15544,-3,15270,4,14979,1,14551,-7,14667,-4,13238,-3

2025-02-28,15491,-53,15248,-22,14947,-32,14527,-24,14632,-35,13215,-23

2025-03-03,15417,-74,15197,-51,14897,-50,14471,-56,14591,-41,13165,-50

2025-03-04,15380,-37,15182,-15,14880,-17,14463,-8,14581,-10,13143,-22

2025-03-05,15387,7,15174,-8,14877,-3,14460,-3,14581,0,13138,-5

2025-03-06,15378,-9,15149,-25,14860,-17,14449,-11,14576,-5,13127,-11

2025-03-07,15341,-37,15133,-16,14835,-25,14437,-12,14556,-20,13098,-29

2025-03-10,15392,51,15178,45,14882,47,14477,40,14602,46,13142,44

2025-03-11,15424,32,15199,21,14903,21,14491,14,14611,9,13163,21

2025-03-12,15386,-38,15181,-18,14893,-10,14478,-13,14594,-17,13146,-17

2025-03-13,15387,1,15189,8,14896,3,14479,1,14594,0,13147,1

2025-03-14,15418,31,15200,11,14904,8,14493,14,14611,17,13154,7

2025-03-17,15430,12,15204,4,14914,10,14499,6,14619,8,13162,8

2025-03-18,15420,-10,15194,-10,14907,-7,14489,-10,14615,-4,13156,-6

2025-03-19,15388,-32,15150,-44,14874,-33,14453,-36,14572,-43,13132,-24

2025-03-20,15404,16,15161,11,14891,17,14464,11,14592,20,13143,11

2025-03-21,15421,17,15175,14,14905,14,14474,10,14599,7,13153,10

2025-03-24,15428,7,15187,12,14911,6,14477,3,14603,4,13157,4

2025-03-25,15389,-39,15152,-35,14869,-42,14446,-31,14573,-30,13129,-28

2025-03-26,15398,9,15153,1,14867,-2,14447,1,14564,-9,13133,4

2025-03-27,15400,2,15152,-1,14869,2,14446,-1,14559,-5,13131,-2

2025-03-28,15396,-4,15152,0,14864,-5,14447,1,14563,4,13131,0

2025-03-31,15415,19,15168,16,14881,17,14465,18,14581,18,13138,7

2025-04-01,15404,-11,15150,-18,14864,-17,14453,-12,14555,-26,13117,-21

2025-04-02,15428,24,15164,14,14874,10,14463,10,14582,27,13122,5

2025-04-03,15453,25,15190,26,14902,28,14490,27,14612,30,13148,26

2025-04-07,15366,-87,15126,-64,14815,-87,14424,-66,14511,-101,13069,-79

2025-04-08,15089,-277,14894,-232,14594,-221,14228,-196,14314,-197,12905,-164

2025-04-09,14966,-123,14761,-133,14464,-130,14079,-149,14169,-145,12736,-169

2025-04-10,14656,-310,14416,-345,14144,-320,13765,-314,13850,-319,12421,-315

2025-04-11,14779,123,14552,136,14275,131,13885,120,13970,120,12544,123

2025-04-14,14790,11,14565,13,14293,18,13897,12,13988,18,12563,19

2025-04-15,14796,6,14568,3,14297,4,13897,0,13993,5,12563,0

2025-04-16,14755,-41,14528,-40,14252,-45,13871,-26,13961,-32,12516,-47

2025-04-17,14693,-62,14480,-48,14200,-52,13823,-48,13925,-36,12482,-34

2025-04-18,14698,5,14493,13,14209,9,13838,15,13947,22,12491,9

2025-04-21,14699,1,14499,6,14210,1,13833,-5,13946,-1,12493,2

2025-04-22,14709,10,14510,11,14218,8,13842,9,13949,3,12502,9

2025-04-23,14640,-69,14449,-61,14151,-67,13766,-76,13883,-66,12460,-42

2025-04-24,14657,17,14473,24,14188,37,13802,36,13929,46,12482,22

2025-04-25,14690,33,14502,29,14224,36,13854,52,13959,30,12491,9

2025-04-27,14699,9,14518,16,14234,10,13865,11,13977,18,12496,5

2025-04-28,14703,4,14532,14,14244,10,13870,5,13980,3,12496,0

2025-04-29,14688,-15,14520,-12,14232,-12,13858,-12,13954,-26,12465,-31

2025-04-30,14626,-62,14451,-69,14183,-49,13789,-69,13894,-60,12416,-49

2025-05-06,14562,-64,14405,-46,14113,-70,13736,-53,13853,-41,12352,-64

2025-05-07,14554,-8,14394,-11,14100,-13,13738,2,13848,-5,12353,1

2025-05-08,14584,30,14422,28,14135,35,13795,57,13896,48,12378,25

2025-05-09,14585,1,14426,4,14122,-13,13810,15,13891,-5,12365,-13

2025-05-12,14654,69,14461,35,14187,65,13868,58,13953,62,12400,35

2025-05-13,14907,253,14657,196,14384,197,14079,211,14165,14165,12547,147

2025-05-14,15020,113,14743,86,14484,100,14178,99,14276,111,12635,88

2025-05-15,15054,34,14783,40,14524,40,14222,44,14312,36,12674,39

2025-05-16,15103,49,14834,51,14577,53,14280,58,14352,40,12717,43

2025-05-19,15095,-8,14834,0,14566,-11,14279,-1,14353,1,12724,7

2025-05-20,15074,-21,14826,-8,14550,-16,14270,-9,14340,-13,12707,-17

2025-05-21,15090,16,14848,22,14567,17,14281,11,14357,17,12721,14

2025-05-22,15138,48,14903,55,14621,54,14346,65,14423,66,12788,67

2025-05-23,15130,-8,14889,-14,14608,-13,14336,-10,14416,-7,12785,-3

2025-05-26,15124,-6,14884,-5,14606,-2,14336,0,14408,-8,12778,-7

2025-05-27,15110,-14,14871,-13,14595,-11,14329,-7,14402,-6,12773,-5

2025-05-28,15075,-35,14846,-25,14572,-23,14304,-25,14377,-25,12744,-29

2025-05-29,15097,22,14857,11,14578,6,14314,10,14386,9,12755,11

2025-05-30,15094,-3,14846,-11,14569,-9,14303,-11,14374,-12,12748,-7

2025-06-03,15086,-8,14838,-8,14553,-16,14299,-4,14369,-5,12747,-1

2025-06-04,15084,-2,14833,-5,14544,-9,14290,-9,14368,-1,12742,-5

2025-06-05,15084,0,14857,24,14543,-1,14293,3,14365,-3,12740,-2

2025-06-06,15094,10,14871,14,14561,18,14314,21,14377,12,12744,4

2025-06-09,15134,40,14928,57,14620,59,14351,37,14411,34,12780,36

2025-06-10,15244,110,15060,132,14743,123,14482,131,14545,134,12886,106

2025-06-11,15284,40,15103,43,14784,41,14519,37,14591,46,12907,21

2025-06-12,15345,61,15155,52,14852,68,14570,51,14646,55,12948,41

2025-06-13,15331,-14,15140,-15,14842,-10,14560,-10,14632,-14,12944,-4

2025-06-16,15312,-19,15128,-12,14820,-22,14546,-14,14623,-9,12932,-12

2025-06-17,15365,53,15172,44,14862,42,14585,39,14666,43,12968,36

2025-06-18,15368,3,15169,-3,14857,-5,14584,-1,14666,0,12964,-4

2025-06-19,15409,41,15214,45,14891,34,14628,44,14717,51,12996,32

2025-06-20,15387,-22,15199,-15,14879,-12,14620,-8,14712,-5,12984,-12

2025-06-23,15392,5,15215,16,14894,15,14628,8,14729,17,12992,8

2025-06-24,15376,-16,15197,-18,14883,-11,14623,-5,14718,-11,12976,-16

2025-06-25,15426,50,15252,55,14938,55,14682,59,14770,52,13026,50

2025-06-26,15500,74,15318,66,15020,82,14754,72,14837,67,13085,59

2025-06-27,15546,46,15378,60,15109,89,14814,60,14895,58,13145,60

2025-06-30,15574,28,15424,46,15154,45,14873,59,14957,62,13184,39

2025-07-01,15625,51,15467,43,15212,58,14919,46,14991,34,13219,35

2025-07-02,15577,-48,15430,-37,15163,-49,14866,-53,14956,-35,13176,-43

2025-07-03,15631,54,15469,39,15203,40,14915,49,15000,44,13210,34

2025-07-04,15628,-3,15463,-6,15200,-3,14921,6,14999,-1,13209,-1

2025-07-07,15632,4,15463,0,15201,1,14922,1,14997,-2,13209,0

2025-07-08,15643,11,15463,0,15193,-8,14921,-1,15004,7,13216,7

2025-07-09,15648,5,15459,-4,15184,-9,14918,-3,15000,-4,13212,-4

2025-07-10,15673,25,15472,13,15196,12,14933,15,15015,15,13243,31

2025-07-11,15738,65,15552,80,15266,70,14987,54,15071,56,13323,80

2025-07-14,15758,20,15578,26,15295,29,15008,21,15105,34,13348,25

2025-07-15,15776,18,15593,15,15302,7,15021,13,15112,7,13354,6

2025-07-16,15752,-24,15566,-27,15272,-30,14986,-35,15078,-34,13334,-20

2025-07-17,15858,106,15661,95,15354,82,15075,89,15162,84,13430,96

2025-07-18,16019,161,15807,146,15508,154,15210,135,15330,168,13598,168

2025-07-21,16125,106,15894,87,15589,81,15304,94,15413,83,13675,77

2025-07-22,16081,-44,15866,-28,15549,-40,15286,-18,15383,-30,13638,-37

2025-07-23,16075,-6,15858,-8,15543,-6,15290,4,15386,3,13643,5

2025-07-24,16100,25,15880,22,15563,20,15317,27,15411,25,13665,22

2025-07-25,16084,-16,15862,-18,15549,-14,15310,-7,15403,-8,13659,-6

2025-07-28,16137,53,15912,50,15609,60,15369,59,15460,57,13699,40

